cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Jemari  (J.K. Nagar Township),C.T.,19,West Bengal,9,Barddhaman 
Jena,C.T.,20,Jharkhand,13,Bokaro
Jeron Khalsa,N.P.,23,Madhya Pradesh,8,Tikamgarh
Jetia,C.T.,19,West Bengal,11,North Twentyfour Parganas
Jetpur Navagadh,M,24,Gujarat,9,Rajkot
Jevargi,T.P.,29,Karnataka,4,Gulbarga
Jewar,N.P.,9,Uttar Pradesh,10,Gautam Buddha Nagar
Jeypur,M,21,Orissa,29,Koraput
Jhabrera,N.P.,5,Uttaranchal,13,Hardwar
Jhabua,M,23,Madhya Pradesh,24,Jhabua
Jhagrakhand,N.P.,22,Chhattisgarh,1,Koriya
Jhajha,N.A.,10,Bihar,37,Jamui
Jhajjar,M.C,6,Haryana,15,Jhajjar
Jhalawar,M,8,Rajasthan,32,Jhalawar
Jhalda,M,19,West Bengal,14,Puruliya
Jhalrapatan,M,8,Rajasthan,32,Jhalawar
Jhalu,N.P.,9,Uttar Pradesh,3,Bijnor
Jhanjharpur,N.A.,10,Bihar,5,Madhubani
Jhansi,M.B.,9,Uttar Pradesh,36,Jhansi
Jhansi,C.B.,9,Uttar Pradesh,36,Jhansi
Jhansi Rly. Settlement,ITS,9,Uttar Pradesh,36,Jhansi
Jhargram,M,19,West Bengal,15,Medinipur 
Jharia,N.A.,20,Jharkhand,12,Dhanbad
Jharia Khas,C.T.,20,Jharkhand,12,Dhanbad
Jharoda Majra Burari,C.T.,7,Delhi *,2,North
Jharsuguda,M,21,Orissa,2,Jharsuguda
Jhinjhak,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
Jhinjhana,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
Jhinkpani,C.T.,20,Jharkhand,17,Pashchimi Singhbhum
Jhorhat,C.T.,19,West Bengal,16,Haora 
Jhumpura,C.T.,21,Orissa,6,Kendujhar
Jhumri Tilaiya,M,20,Jharkhand,5,Kodarma
Jhundpura,N.P.,23,Madhya Pradesh,2,Morena
Jhunjhunun,M,8,Rajasthan,5,Jhunjhunun
Jhusi,N.P.,9,Uttar Pradesh,45,Allahabad 
Jhusi Kohna,C.T.,9,Uttar Pradesh,45,Allahabad 
Jiaganj Azimganj,M,19,West Bengal,7,Murshidabad 
Jind,M.Cl.,6,Haryana,9,Jind
Jintur,M.Cl.,27,Maharashtra,17,Parbhani
Jiran,N.P.,23,Madhya Pradesh,18,Neemuch
Jirapur,N.P.,23,Madhya Pradesh,30,Rajgarh
Jiribam,M.Cl.,14,Manipur,7,Imphal East
Jiwan Pur alias Johri Pur,C.T.,7,Delhi *,3,North East
Jiyanpur,N.P.,9,Uttar Pradesh,61,Azamgarh
Jobat,N.P.,23,Madhya Pradesh,24,Jhabua
